,video_num,Arousal,Fear,Valence,semArousal,semFear,semValence,stdArousal,stdFear,stdValence
0,19.0,2.1584158415841586,1.3366336633663367,4.381188118811881,0.09937129257101762,0.056825385606391096,0.08299129572454127,1.4123314288867985,0.8076404761783786,1.1795279324966106
0,20.0,2.118811881188119,1.6584158415841583,3.9356435643564356,0.10160387052847115,0.07869287871759251,0.08126920492532498,1.4440623235463206,1.1184359483198258,1.1550524235623603
0,21.0,2.0297029702970297,1.183168316831683,4.4504950495049505,0.09948166018776554,0.047659049122218425,0.09231397307302466,1.4139000474468622,0.6773623569207797,1.3120280729292642
0,22.0,2.2475247524752477,1.2475247524752475,4.821782178217822,0.10117575905029785,0.05427939712700615,0.08816249735572979,1.437977716211066,0.7714551810696401,1.253024516871003
0,23.0,1.9653465346534653,1.2673267326732673,4.361386138613861,0.09835319873025118,0.057782861487740006,0.07980982208430065,1.3978615966880987,0.821248765299341,1.1343106962502822
0,24.0,3.4653465346534653,1.8217821782178218,3.9405940594059405,0.12674644954925018,0.09172234451711375,0.09891873049836654,1.8014055122639114,1.303619451262773,1.4058993133110602
0,25.0,4.311881188118812,4.247524752475248,2.207920792079208,0.14565201259062235,0.14934826827121234,0.09059884382950503,2.0701040485645064,2.122637712279988,1.2876515062916265
0,26.0,4.544554455445544,4.425742574257426,2.3514851485148514,0.13985036810592025,0.1522685409125743,0.10024900706221906,1.9876471877048505,2.164142584820176,1.424806095658666
0,27.0,4.534653465346534,4.356435643564357,2.1584158415841586,0.14589749873625354,0.15570340525481324,0.0913653950560914,2.0735930622410006,2.2129611795973307,1.2985462462225368
0,28.0,4.589108910891089,4.356435643564357,2.108910891089109,0.14236353805223248,0.15055654544806896,0.08675724963039888,2.0233660438198986,2.1398105575507853,1.2330521941155337
0,29.0,4.207920792079208,4.123762376237623,2.202970297029703,0.14428571221277647,0.15019370286968364,0.09186911576987052,2.0506852716219344,2.13465359557582,1.3057054627029214
0,30.0,4.099009900990099,4.178217821782178,2.212871287128713,0.14297842652377396,0.1443127509972187,0.08958449294726471,2.0321052510008615,2.051069564953324,1.2732348715287927
0,31.0,2.737623762376238,2.5396039603960396,2.995049504950495,0.12546098038152825,0.12097244522509865,0.08348639450655901,1.7831355626691514,1.7193414918960623,1.1865646083026287
0,32.0,3.3514851485148514,2.886138613861386,3.371287128712871,0.13074345642458948,0.1348548587095066,0.10517769864315682,1.8582136535838398,1.9166476591557768,1.4948559646192952
0,33.0,3.985148514851485,3.5495049504950495,2.9257425742574257,0.1440882599911299,0.1467179441230835,0.11272058033220284,2.0478789482752227,2.0852537821081296,1.602060455958693
0,34.0,2.6782178217821784,2.50990099009901,3.297029702970297,0.11993998778684245,0.12441481149144726,0.08712188356252715,1.7046675146204315,1.7682667090479807,1.238234616010824
0,35.0,3.0445544554455446,2.9653465346534653,2.876237623762376,0.12851615998272484,0.12853133879534567,0.08449963713110487,1.8265578233646136,1.8267735548255108,1.2009654917641288
0,36.0,3.6732673267326734,2.712871287128713,3.50990099009901,0.12945529367145436,0.10162786823081295,0.13935471967311577,1.8399054209473984,1.4444033949801471,1.9806026998933637
0,37.0,6.496999999999998,5.395999999999998,3.569499999999999,0.21364615229851397,0.23038839829807356,0.18535203162668792,3.0214128612938627,3.2581839748655015,2.621273569398689
